lon;lat;var1
151.5;46.5;-0.368850588845915
151.5;47.5;-0.35511993593191465
151.5;48.5;-0.2869742808648789
151.5;49.5;-0.20221105707932993
151.5;50.5;-0.09653403507354881
151.5;51.5;-0.0026558255643576575
151.5;52.5;0.04152745254279584
151.5;53.5;0.020320633928702606
151.5;54.5;-0.05367314395989414
151.5;55.5;-0.16504375115257042
151.5;56.5;-0.22423765342064875
151.5;57.5;-0.26081489536992214
151.5;58.5;-0.29205281791472015
152.5;20.5;-0.22761537490378314
152.5;21.5;-0.24637179579616245
152.5;22.5;-0.28820124971616906
152.5;23.5;-0.3652796391415305
152.5;24.5;-0.470167851694863
152.5;25.5;-0.6022224401755365
152.5;26.5;-0.744372643329633
152.5;27.5;-0.8300174386188731
152.5;28.5;-0.9095525554625287
152.5;29.5;-0.9830016810564574
152.5;30.5;-1.0374726049286986
152.5;31.5;-1.0275050982916154
152.5;32.5;-1.0108543973043722
152.5;33.5;-0.948513476219027
152.5;34.5;-0.9257902309320795
152.5;35.5;-1.0252167074267786
152.5;36.5;-1.134154469951901
152.5;37.5;-1.2537138532369005
152.5;38.5;-1.2509994322999414
152.5;39.5;-1.2140599723738428
152.5;40.5;-1.1272114599170182
152.5;41.5;-1.0496140423215303
152.5;42.5;-0.9005364395051654
152.5;43.5;-0.6890603451694897
152.5;44.5;-0.4661962001294412
152.5;45.5;-0.3674173704619606
152.5;46.5;-0.33189495161275495
152.5;47.5;-0.2856172949036485
152.5;48.5;-0.2101295706131467
152.5;49.5;-0.1283642148262088
152.5;50.5;-0.011622344745372486
152.5;51.5;0.06759277181118045
152.5;52.5;0.1112023531818534
152.5;53.5;0.07360920413713588
152.5;54.5;-0.00852666617325222
152.5;55.5;-0.13163439234465327
152.5;56.5;-0.20705153573864973
152.5;57.5;-0.24961133354665366
152.5;58.5;-0.29101654030744206
153.5;20.5;-0.25071154461813444
153.5;21.5;-0.2663466749135925
153.5;22.5;-0.2946420430188692
153.5;23.5;-0.3517859596067969
153.5;24.5;-0.4542749414514531
153.5;25.5;-0.5908021244824518
153.5;26.5;-0.7525981507816705
153.5;27.5;-0.8321638715602147
153.5;28.5;-0.9235667979254588
153.5;29.5;-0.9988570766956825
153.5;30.5;-1.0639513050548595
153.5;31.5;-1.057282560184964
153.5;32.5;-1.0503395313143318
153.5;33.5;-0.9944100884036973
153.5;34.5;-0.9736766908251104
153.5;35.5;-1.0553560826178376
153.5;36.5;-1.1554537773944331
153.5;37.5;-1.277920361967276
153.5;38.5;-1.2888627657707366
153.5;39.5;-1.2371755422285202
153.5;40.5;-1.1357178872819373
